Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Individuals using the Internet (% of population),IT.NET.USER.ZS,Sub-Saharan Africa,SSF,0,0.516909537706238,11.1593890969573,13.3689854263355,16.0117099299336,18.6363083075504,21.2702329020095,24.8252701975894,27.7649223441986,31.8242895064697,35.8617387329346,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Sub-Saharan Africa (excluding high income),SSA,0,0.51608145917158,11.1552596965179,13.3650541796102,16.0077986869433,18.6326338422342,21.2666441044274,24.8207955605029,27.7604633451257,31.8202099118751,35.8572855101176,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,0,0.516909537706239,11.1593890969573,13.3689854263355,16.0117099299336,18.6363083075504,21.2702329020095,24.8252701975894,27.7649223441986,31.8242895064697,35.8617387329346,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Upper middle income,UMC,0,2.39331538440819,43.5634122580291,46.1066431020146,49.4666579151593,52.7127167121665,55.2326225286102,60.1450292315003,65.3798011755797,70.8163216402756,74.3289906100026,76.3925728169767
Individuals using the Internet (% of population),IT.NET.USER.ZS,World,WLD,0.0488246930836708,6.74371951164793,35.6492575186719,37.8807809660353,40.2700586394911,43.2159802414783,45.5430731807617,49.1575632107554,53.7488843666031,59.5691384357893,63.0713482972497,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 12/18/2023,,,,,,,,,,,,,,,
